 Integral of x^2 between 0 and 1:
     N   LCONST.   RCONST.     MIDP.     TRAP.     SIMP.     ROMB.      M.C.
     2  0.000000  0.125000  0.281250  0.375000  0.333333  0.333364  0.361106
     4  0.078125  0.218750  0.324219  0.343750  0.333333  0.333341  0.361996
     6  0.138889  0.254630  0.329861  0.337963  0.333333  0.333337  0.329917
     8  0.177734  0.273438  0.331543  0.335938  0.333333  0.333335  0.333988
    10  0.204000  0.285000  0.332250  0.335000  0.333333  0.333335  0.337864
    12  0.222801  0.292824  0.332610  0.334491  0.333333  0.333334  0.336254
    14  0.236880  0.298469  0.332817  0.334184  0.333333  0.333334  0.341472
    16  0.247803  0.302734  0.332947  0.333984  0.333333  0.333334  0.332972
    18  0.256516  0.306070  0.333033  0.333848  0.333333  0.333334  0.345781
    20  0.263625  0.308750  0.333094  0.333750  0.333333  0.333334  0.319699
    22  0.269534  0.310950  0.333138  0.333678  0.333333  0.333334  0.329832
    24  0.274523  0.312789  0.333171  0.333623  0.333333  0.333334  0.338694
    26  0.278789  0.314349  0.333196  0.333580  0.333333  0.333334  0.331158
    28  0.282480  0.315689  0.333216  0.333546  0.333333  0.333333  0.332917
    30  0.285704  0.316852  0.333231  0.333519  0.333333  0.333333  0.342206
    32  0.288544  0.317871  0.333244  0.333496  0.333333  0.333333  0.337733
    34  0.291065  0.318772  0.333255  0.333478  0.333333  0.333333  0.321096
    36  0.293317  0.319573  0.333264  0.333462  0.333333  0.333333  0.328360
    38  0.295342  0.320291  0.333271  0.333449  0.333333  0.333333  0.323048
    40  0.297172  0.320938  0.333277  0.333438  0.333333  0.333333  0.330073
    42  0.298834  0.321523  0.333283  0.333428  0.333333  0.333333  0.336203
    44  0.300350  0.322056  0.333287  0.333419  0.333333  0.333333  0.333341
    46  0.301738  0.322543  0.333291  0.333412  0.333333  0.333333  0.333158
    48  0.303015  0.322989  0.333295  0.333406  0.333333  0.333333  0.324849
    50  0.304192  0.323400  0.333298  0.333400  0.333333  0.333333  0.328607
 
 Integral of 4.5exp(-x^2) between 1 and 5:
     N   LCONST.   RCONST.     MIDP.     TRAP.     SIMP.     ROMB.      M.C.
     2  3.310915  0.001111  0.000001  1.656568  1.105119  0.628121  0.591291
     4  1.738433  0.082976  0.008709  0.910705  0.662084  0.627515  0.541190
     6  1.303503  0.199865  0.057440  0.751684  0.625723  0.627402  0.674371
     8  1.110719  0.282991  0.120705  0.696855  0.625572  0.627363  0.591252
    10  1.002783  0.340600  0.178566  0.671691  0.626461  0.627345  0.594796
    12  0.933992  0.382172  0.227322  0.658082  0.626881  0.627335  0.596647
    14  0.886391  0.413403  0.267738  0.649897  0.627075  0.627329  0.669754
    16  0.851525  0.437661  0.301338  0.644593  0.627172  0.627325  0.641242
    18  0.824900  0.457020  0.329520  0.640960  0.627224  0.627323  0.606947
    20  0.803909  0.472818  0.353404  0.638364  0.627254  0.627321  0.608597
    22  0.786940  0.485947  0.373856  0.636444  0.627273  0.627319  0.621808
    24  0.772939  0.497029  0.391538  0.634984  0.627284  0.627318  0.648077
    26  0.761191  0.506505  0.406963  0.633848  0.627292  0.627317  0.601906
    28  0.751194  0.514700  0.420526  0.632947  0.627297  0.627317  0.639448
    30  0.742584  0.521857  0.432539  0.632221  0.627301  0.627316  0.653738
    32  0.735092  0.528160  0.443250  0.631626  0.627304  0.627316  0.612480
    34  0.728513  0.533753  0.452856  0.631133  0.627306  0.627315  0.594089
    36  0.722690  0.538750  0.461519  0.630720  0.627307  0.627315  0.610003
    38  0.717500  0.543242  0.469369  0.630371  0.627308  0.627315  0.660677
    40  0.712845  0.547300  0.476514  0.630073  0.627309  0.627315  0.629233
    42  0.708647  0.550985  0.483045  0.629816  0.627310  0.627314  0.596942
    44  0.704842  0.554345  0.489037  0.629593  0.627310  0.627314  0.601360
    46  0.701376  0.557423  0.494554  0.629399  0.627310  0.627314  0.629684
    48  0.698206  0.560252  0.499650  0.629229  0.627311  0.627314  0.643541
    50  0.695297  0.562860  0.504370  0.629079  0.627311  0.627314  0.641544
